Fecha,Temp(C),SensTerm(C),TempApar(C),PtoRocio(C),Hum(%),Solar(Wm2),UV,PresRel(hPa),PresAbs(hPa),Viento(kmh),Rafaga(kmh),Dir(deg),Lluvia_Intens(mmh),Lluvia_1h(mm),Lluvia_Dia(mm),Lluvia_Ev(mm),Lluvia_Sem(mm),Lluvia_Mes(mm),Lluvia_Anio(mm)
2026-04-04 14:51,19.3,19.3,14.2,6.4,43,679.4,6,1020.9,1015.8,22.0,27.7,180,0,0,0,14.5,40.9,40.6,50
2026-04-04 15:23,19.1,19.1,15.3,6.6,44,572.5,5,1020.4,1015.3,15.5,18.4,180,0,0,0,14.5,40.9,40.6,50
2026-04-04 16:08,19.0,19.0,14.6,6.5,44,432.7,4,1020.4,1015.3,18.7,23.8,181,0,0,0,14.5,40.9,40.6,50
2026-04-04 16:45,18.7,18.7,15.4,6.2,44,305.0,2,1020.0,1014.9,12.6,14.8,123,0,0,0,14.5,40.9,40.6,50
2026-04-04 16:55,18.9,18.9,16.1,6.4,44,268.1,2,1020.1,1015.0,10.4,14.8,172,0,0,0,14.5,40.9,40.6,50
2026-04-04 17:02,18.5,18.5,15.3,6.1,44,237.8,2,1020.0,1014.9,11.9,18.4,166,0,0,0,14.5,40.9,40.6,50
2026-04-04 17:33,18.5,18.5,15.3,6.1,44,132.9,1,1020.2,1015.1,11.9,14.8,158,0,0,0,14.5,40.9,40.6,50
2026-04-04 17:48,18.2,18.2,15.5,6.4,46,93.3,0,1020.7,1015.6,9.7,13.0,189,0,0,0,14.5,40.9,40.6,50
2026-04-04 18:18,17.6,17.6,15.7,6.8,49,36.0,0,1020.9,1015.8,6.1,7.2,173,0,0,0,14.5,40.9,40.6,50
2026-04-04 18:50,16.4,16.4,14.7,7.1,54,7.2,0,1020.9,1015.8,5.0,7.2,182,0,0,0,14.5,40.9,40.6,50
2026-04-04 19:33,15.1,15.1,13.7,7.2,59,0.0,0,1021.2,1016.1,4.0,5.4,188,0,0,0,14.5,40.9,40.6,50
2026-04-04 20:01,14.4,14.4,13.2,7.2,62,0.0,0,1021.3,1016.2,2.9,3.6,176,0,0,0,14.5,40.9,40.6,50
2026-04-04 20:02,14.4,14.4,12.5,6.9,61,0.0,0,1021.2,1016.1,6.1,7.2,160,0,0,0,14.5,40.9,40.6,50
